,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
24,Ferocactus robustus,189810,-97.4083333,18.4583333,,False,5,35.8,Equisetopsida,Caryophyllales,Cactaceae,1654,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00f5181ec86f27b2da237b3bb769652e,00f5181ec86f27b2da237b3bb769652e,No,,NoDisponible,,,,,,
58,Ferocactus robustus,189809,-97.4416667,18.3916667,,False,5,37.45,Equisetopsida,Caryophyllales,Cactaceae,1604,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=01d8014b0622c6f6203313c9f724c850,01d8014b0622c6f6203313c9f724c850,No,,NoDisponible,,,,,,
41,Ferocactus robustus,189776,-97.4506667,18.347,,False,5,41.25,Equisetopsida,Caryophyllales,Cactaceae,1493,Terrestre,2001,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02d776a3f900a14eefa3a4ca718847c9,02d776a3f900a14eefa3a4ca718847c9,No,,NoDisponible,,,,,,
56,Ferocactus robustus,189809,-97.4416667,18.4083333,,False,5,37.45,Equisetopsida,Caryophyllales,Cactaceae,1739,Terrestre,1990,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=037594d0e0e1ed2fc55937c8e7934cc8,037594d0e0e1ed2fc55937c8e7934cc8,No,,NoDisponible,,,,,,
72,Ferocactus robustus,189774,-97.5238889,18.2997222,,False,5,38.59,Equisetopsida,Caryophyllales,Cactaceae,1574,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05f68a1fc5f06eba32af057a095d65fa,05f68a1fc5f06eba32af057a095d65fa,No,,NoDisponible,,,,,,
96,Ferocactus robustus,189787,-97.4493719,18.3979333,,False,6,52.81,Equisetopsida,Caryophyllales,Cactaceae,1741,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=06630fa8fd1f1c6ba288bb424a6520ee,06630fa8fd1f1c6ba288bb424a6520ee,No,,NoDisponible,,,,,,
75,Ferocactus robustus,189774,-97.5255556,18.3052778,,False,5,38.59,Equisetopsida,Caryophyllales,Cactaceae,1544,Terrestre,2003,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=086d6747ec1651615a1f50546d77b1f9,086d6747ec1651615a1f50546d77b1f9,No,,NoDisponible,,,,,,
42,Ferocactus robustus,189776,-97.515,18.3569444,,False,5,41.25,Equisetopsida,Caryophyllales,Cactaceae,1738,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a0abe706c0388db94da6c64b62ed8b5,0a0abe706c0388db94da6c64b62ed8b5,No,,NoDisponible,,,,,,
74,Ferocactus robustus,189774,-97.5763889,18.3372222,,False,5,38.59,Equisetopsida,Caryophyllales,Cactaceae,1672,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0b1b992d9f513efb9576aef8259ea818,0b1b992d9f513efb9576aef8259ea818,No,,NoDisponible,,,,,,
136,Ferocactus robustus,189766,-97.7308499,18.3139302,,False,4,28.88,Equisetopsida,Caryophyllales,Cactaceae,1774,Terrestre,2008,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fd431ab58831640a6b97849a593c743,0fd431ab58831640a6b97849a593c743,No,,NoDisponible,,,,,,
61,Ferocactus robustus,189790,-97.5900278,18.5878889,,False,6,45.3,Equisetopsida,Caryophyllales,Cactaceae,1874,Terrestre,1995,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=10bebae203c55bf0a77a5f618465f9ee,10bebae203c55bf0a77a5f618465f9ee,No,,NoDisponible,,,,,,
115,Ferocactus robustus,189773,-97.54775,18.2908611,,False,6,46.36,Equisetopsida,Caryophyllales,Cactaceae,1629,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=12c1122f2dc12ca0bfe637eb14e22758,12c1122f2dc12ca0bfe637eb14e22758,No,,NoDisponible,,,,,,
21,Ferocactus robustus,189810,-97.4083333,18.475,,False,5,35.8,Equisetopsida,Caryophyllales,Cactaceae,1659,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1347e84db9738a8d422f8d0421374317,1347e84db9738a8d422f8d0421374317,No,,NoDisponible,,,,,,
35,Ferocactus robustus,189776,-97.5030556,18.3033333,,False,5,41.25,Equisetopsida,Caryophyllales,Cactaceae,1526,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1393d8672f949a8e20fd3076a8808696,1393d8672f949a8e20fd3076a8808696,No,,NoDisponible,,,,,,
39,Ferocactus robustus,189776,-97.5152778,18.3613889,,False,5,41.25,Equisetopsida,Caryophyllales,Cactaceae,1779,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=19377bea4abe8925f763761830092b3e,19377bea4abe8925f763761830092b3e,No,,NoDisponible,,,,,,
45,Ferocactus robustus,189776,-97.4744444,18.3508333,,False,5,41.25,Equisetopsida,Caryophyllales,Cactaceae,1849,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1b4c09002a2708a3ee1c5b60c09aba61,1b4c09002a2708a3ee1c5b60c09aba61,No,,NoDisponible,,,,,,
71,Ferocactus robustus,189774,-97.58,18.3302778,,False,5,38.59,Equisetopsida,Caryophyllales,Cactaceae,1660,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2256babdd00966fd844bfbd1e5cc1df6,2256babdd00966fd844bfbd1e5cc1df6,No,,NoDisponible,,,,,,
10,Ferocactus robustus,189810,-97.39278,18.46194,,False,5,35.8,Equisetopsida,Caryophyllales,Cactaceae,1645,Terrestre,1961,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=25869ad3f8600fe43ac53a855aafc512,25869ad3f8600fe43ac53a855aafc512,No,,NoDisponible,,,,,,
12,Ferocactus robustus,189810,-97.39278,18.46194,,False,5,35.8,Equisetopsida,Caryophyllales,Cactaceae,1645,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=25d9805821c04c3abf7951889033ce24,25d9805821c04c3abf7951889033ce24,No,,NoDisponible,,,,,,
40,Ferocactus robustus,189776,-97.5094444,18.3138889,,False,5,41.25,Equisetopsida,Caryophyllales,Cactaceae,1517,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2d5a0b016c75da6a875a159cee9ac192,2d5a0b016c75da6a875a159cee9ac192,No,,NoDisponible,,,,,,
121,Ferocactus robustus,189858,-97.4011389,18.7088056,,False,4,31.81,Equisetopsida,Caryophyllales,Cactaceae,2414,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=30ddaf8ef4fb93c14a4ed0d81f2caf1c,30ddaf8ef4fb93c14a4ed0d81f2caf1c,No,,NoDisponible,,,,,,
55,Ferocactus robustus,189809,-97.4209891,18.3945049,,False,5,37.45,Equisetopsida,Caryophyllales,Cactaceae,1749,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3203962078f141bfc5b06b89bdcbdb1a,3203962078f141bfc5b06b89bdcbdb1a,No,,NoDisponible,,,,,,
31,Ferocactus robustus,189776,-97.4747222,18.3466944,,False,5,41.25,Equisetopsida,Caryophyllales,Cactaceae,1761,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=343bc354f9c50d9cbf69a7ac54af2527,343bc354f9c50d9cbf69a7ac54af2527,No,,NoDisponible,,,,,,
54,Ferocactus robustus,189809,-97.4491667,18.3847222,,False,5,37.45,Equisetopsida,Caryophyllales,Cactaceae,1699,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=386884b96a4f63f068cb02873c31c598,386884b96a4f63f068cb02873c31c598,No,,NoDisponible,,,,,,
0,Ferocactus robustus,189810,-97.4355556,18.4491667,,False,5,35.8,Equisetopsida,Caryophyllales,Cactaceae,1733,Terrestre,1919,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=38f8b5f2efffbaac6cd62d5e85bb7038,38f8b5f2efffbaac6cd62d5e85bb7038,No,,NoDisponible,,,,,,
117,Ferocactus robustus,189797,-97.4163889,18.2292222,,False,6,55.42,Equisetopsida,Caryophyllales,Cactaceae,2105,Terrestre,2005,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3b3477753578384ec12d27fc628f9b2b,3b3477753578384ec12d27fc628f9b2b,No,,NoDisponible,,,,,,
79,Ferocactus robustus,189774,-97.5416667,18.3083333,,False,5,38.59,Equisetopsida,Caryophyllales,Cactaceae,1568,Terrestre,1966,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3fa9cc432f4569939dfe177e0052c9aa,3fa9cc432f4569939dfe177e0052c9aa,No,,NoDisponible,,,,,,
108,Ferocactus robustus,189770,-97.5329167,18.2016111,,False,5,38.3,Equisetopsida,Caryophyllales,Cactaceae,2107,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3fae76c7007b8470c8aab486fa7f7e95,3fae76c7007b8470c8aab486fa7f7e95,No,,NoDisponible,,,,,,
128,Ferocactus robustus,189794,-97.4338836,18.210468,,False,6,50.47,Equisetopsida,Caryophyllales,Cactaceae,2133,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=40966c397c1e1c1fa26ad786edebbf7f,40966c397c1e1c1fa26ad786edebbf7f,No,,NoDisponible,,,,,,
17,Ferocactus robustus,189810,-97.3916667,18.4583333,,False,5,35.8,Equisetopsida,Caryophyllales,Cactaceae,1631,Terrestre,1967,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=40d95f4ec58fd63680b74c21679c7cff,40d95f4ec58fd63680b74c21679c7cff,No,,NoDisponible,,,,,,
94,Ferocactus robustus,189787,-97.4675769,18.3987827,,False,6,52.81,Equisetopsida,Caryophyllales,Cactaceae,1955,Terrestre,2017,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=43a514ccd091532b4ac2d8103379a77e,43a514ccd091532b4ac2d8103379a77e,No,,NoDisponible,,,,,,
62,Ferocactus robustus,189790,-97.5583333,18.6083333,,False,6,45.3,Equisetopsida,Caryophyllales,Cactaceae,1907,Terrestre,1993,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=449f83838ba79f192afcb98576504570,449f83838ba79f192afcb98576504570,No,,NoDisponible,,,,,,
90,Ferocactus robustus,189775,-97.4505833,18.2695833,,False,6,52.42,Equisetopsida,Caryophyllales,Cactaceae,2433,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=45d0d9033c888e5a6bd76224c54d9605,45d0d9033c888e5a6bd76224c54d9605,No,,NoDisponible,,,,,,
23,Ferocactus robustus,189810,-97.4083333,18.475,,False,5,35.8,Equisetopsida,Caryophyllales,Cactaceae,1659,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=466914856ba9393b7a3e323c064880ac,466914856ba9393b7a3e323c064880ac,No,,NoDisponible,,,,,,
48,Ferocactus robustus,189776,-97.475,18.325,,False,5,41.25,Equisetopsida,Caryophyllales,Cactaceae,1451,Terrestre,1998,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4871f42d94b13c4c2d93200bb7088793,4871f42d94b13c4c2d93200bb7088793,No,,NoDisponible,,,,,,
5,Ferocactus robustus,189810,-97.3919444,18.4605556,,False,5,35.8,Equisetopsida,Caryophyllales,Cactaceae,1637,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4a1e094d3ad12c303272cbd5455fd26a,4a1e094d3ad12c303272cbd5455fd26a,No,,NoDisponible,,,,,,
124,Ferocactus robustus,189785,-97.5706605,18.3874872,,False,6,56.03,Equisetopsida,Caryophyllales,Cactaceae,1926,Terrestre,2007,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4b5da0123e6682786df8e74037e14456,4b5da0123e6682786df8e74037e14456,No,,NoDisponible,,,,,,
32,Ferocactus robustus,189776,-97.5054167,18.3120278,,False,5,41.25,Equisetopsida,Caryophyllales,Cactaceae,1522,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4fe4e94c30bfa9d500bd2ea8afbdf0ea,4fe4e94c30bfa9d500bd2ea8afbdf0ea,No,,NoDisponible,,,,,,
46,Ferocactus robustus,189776,-97.5147222,18.3591667,,False,5,41.25,Equisetopsida,Caryophyllales,Cactaceae,1748,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=536069930d390ff5f9ec562c8c8e28db,536069930d390ff5f9ec562c8c8e28db,No,,NoDisponible,,,,,,
98,Ferocactus robustus,189857,-97.3808333,18.6808333,,False,5,40.56,Equisetopsida,Caryophyllales,Cactaceae,2166,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5453f703c9ff80d426fb76b2958dd73f,5453f703c9ff80d426fb76b2958dd73f,No,,NoDisponible,,,,,,
6,Ferocactus robustus,189810,-97.3919444,18.4605556,,False,5,35.8,Equisetopsida,Caryophyllales,Cactaceae,1637,Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=551ec52f386e40856a7cc65b9a219990,551ec52f386e40856a7cc65b9a219990,No,,NoDisponible,,,,,,
132,Ferocactus robustus,184816,-97.7794502,18.3394574,,False,5,40.6,Equisetopsida,Caryophyllales,Cactaceae,1871,Terrestre,2013,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=552d9f7c17b83bf7c84747054e9d2192,552d9f7c17b83bf7c84747054e9d2192,No,,NoDisponible,,,,,,
57,Ferocactus robustus,189809,-97.4416667,18.3916667,,False,5,37.45,Equisetopsida,Caryophyllales,Cactaceae,1604,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5884653bf35fe31d3e803c050786232a,5884653bf35fe31d3e803c050786232a,No,,NoDisponible,,,,,,
3,Ferocactus robustus,189810,-97.4166667,18.4533333,,False,5,35.8,Equisetopsida,Caryophyllales,Cactaceae,1667,Terrestre,1979,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=58a77f17a38a4b88d2ced86b3e7621e0,58a77f17a38a4b88d2ced86b3e7621e0,No,,NoDisponible,,,,,,
102,Ferocactus robustus,189857,-97.4086111,18.6991667,,False,5,40.56,Equisetopsida,Caryophyllales,Cactaceae,2400,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=59b0b71c867f7c627f8350764c05ee41,59b0b71c867f7c627f8350764c05ee41,No,,NoDisponible,,,,,,
68,Ferocactus robustus,189772,-97.5164999,18.2025422,,False,6,46.8,Equisetopsida,Caryophyllales,Cactaceae,1981,Terrestre,2016,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5b88339c1f20cb7a30e498628604e749,5b88339c1f20cb7a30e498628604e749,No,,NoDisponible,,,,,,
116,Ferocactus robustus,189773,-97.5498667,18.2499167,,False,6,46.36,Equisetopsida,Caryophyllales,Cactaceae,1731,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5f858fd2c6e66a8f8dff4924cd6d1f6b,5f858fd2c6e66a8f8dff4924cd6d1f6b,No,,NoDisponible,,,,,,
22,Ferocactus robustus,189810,-97.4083333,18.4583333,,False,5,35.8,Equisetopsida,Caryophyllales,Cactaceae,1654,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6313f59d8cb70e5ca62874fd4a446862,6313f59d8cb70e5ca62874fd4a446862,No,,NoDisponible,,,,,,
97,Ferocactus robustus,189857,-97.4085833,18.6978333,,False,5,40.56,Equisetopsida,Caryophyllales,Cactaceae,2434,Terrestre,2006,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=64851723d1734d7b87ebf10bc6c7e585,64851723d1734d7b87ebf10bc6c7e585,No,,NoDisponible,,,,,,
100,Ferocactus robustus,189857,-97.4088889,18.6991667,,False,5,40.56,Equisetopsida,Caryophyllales,Cactaceae,2399,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=66dafa044c7fa119fc5799d79c189ff0,66dafa044c7fa119fc5799d79c189ff0,No,,NoDisponible,,,,,,
122,Ferocactus robustus,189764,-97.6638889,18.2027778,,False,5,39.93,Equisetopsida,Caryophyllales,Cactaceae,1904,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=67d7f730f60d55c964e2995975cbf744,67d7f730f60d55c964e2995975cbf744,No,,NoDisponible,,,,,,
18,Ferocactus robustus,189810,-97.4416667,18.475,,False,5,35.8,Equisetopsida,Caryophyllales,Cactaceae,1724,Terrestre,1980,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=68266d518502825ebf58d0d8e9eadb41,68266d518502825ebf58d0d8e9eadb41,No,,NoDisponible,,,,,,
19,Ferocactus robustus,189810,-97.4083333,18.475,,False,5,35.8,Equisetopsida,Caryophyllales,Cactaceae,1659,Terrestre,1979,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6a9f8c31c4d1a113a27980409fb977af,6a9f8c31c4d1a113a27980409fb977af,No,,NoDisponible,,,,,,
66,Ferocactus robustus,189826,-97.725,18.7416667,,False,4,25.37,Equisetopsida,Caryophyllales,Cactaceae,2056,Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=6bd0eb0eedf2cc131863d0f4169a6e1b,6bd0eb0eedf2cc131863d0f4169a6e1b,No,,NoDisponible,,,,,,
49,Ferocactus robustus,189776,-97.4583333,18.325,,False,5,41.25,Equisetopsida,Caryophyllales,Cactaceae,1425,Terrestre,1998,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=70e247d143da49502225c6828cd7cc5f,70e247d143da49502225c6828cd7cc5f,No,,NoDisponible,,,,,,
13,Ferocactus robustus,189810,-97.39278,18.46194,,False,5,35.8,Equisetopsida,Caryophyllales,Cactaceae,1645,Terrestre,1905,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=7157bae8c823954fa6b1337ee2f92975,7157bae8c823954fa6b1337ee2f92975,No,,NoDisponible,,,,,,
51,Ferocactus robustus,189809,-97.4402778,18.3797222,,False,5,37.45,Equisetopsida,Caryophyllales,Cactaceae,1611,Terrestre,1978,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=72fa104b58fd3d425baaf0f11a8a4e8f,72fa104b58fd3d425baaf0f11a8a4e8f,No,,NoDisponible,,,,,,
69,Ferocactus robustus,189772,-97.4578197,18.2184597,,False,6,46.8,Equisetopsida,Caryophyllales,Cactaceae,2015,Terrestre,2014,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=764bd727220ddcb7e5606b505b5bdfbb,764bd727220ddcb7e5606b505b5bdfbb,No,,NoDisponible,,,,,,
91,Ferocactus robustus,189775,-97.5,18.2847222,,False,6,52.42,Equisetopsida,Caryophyllales,Cactaceae,1610,Terrestre,2000,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=77755ca3ce8559c8e55b694dd68cf250,77755ca3ce8559c8e55b694dd68cf250,No,,NoDisponible,,,,,,
14,Ferocactus robustus,189810,-97.39278,18.46194,,False,5,35.8,Equisetopsida,Caryophyllales,Cactaceae,1645,Terrestre,1901,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=79dfef91d439ba39f8e2e396499d7700,79dfef91d439ba39f8e2e396499d7700,No,,NoDisponible,,,,,,
