,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
60,Myotis thysanodes,60764,-113.60425,31.9173083,,True,0,-10.83,Mammalia,Chiroptera,Vespertilionidae,206,Terrestre,2003,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0797ec35089457594e6e7ae8d597407f,0797ec35089457594e6e7ae8d597407f,Si,NoDisponible,No,No,Si,,,,
16,Myotis thysanodes,123813,-105.4508593,29.2770428,,False,1,3.34,Mammalia,Chiroptera,Vespertilionidae,1427,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=08ec5b0bfbcfc0d34d8d39c817e01e19,08ec5b0bfbcfc0d34d8d39c817e01e19,No,NoDisponible,,,,,,,
107,Myotis thysanodes,119063,-106.2391667,28.545,,False,3,13.79,Mammalia,Chiroptera,Vespertilionidae,1607,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0bbb20818b1543bb80bec41df0804350,0bbb20818b1543bb80bec41df0804350,No,NoDisponible,,,,,,,
47,Myotis thysanodes,132454,-104.2975,23.6795,,False,2,10.09,Mammalia,Chiroptera,Vespertilionidae,1529,Terrestre,2009,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f6621dc85f9d0c6e14af4a23b827bd6,0f6621dc85f9d0c6e14af4a23b827bd6,No,NoDisponible,,,,,,,
90,Myotis thysanodes,184810,-97.8216667,18.1605556,,False,2,7.14,Mammalia,Chiroptera,Vespertilionidae,1564,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=108b4fc18133e81f743d66b72b07dd65,108b4fc18133e81f743d66b72b07dd65,No,NoDisponible,,,,,,,
86,Myotis thysanodes,132267,-104.0791667,21.8955556,,False,1,-0.61,Mammalia,Chiroptera,Vespertilionidae,1393,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=153b2c946671c07f225cf496eb2edb8b,153b2c946671c07f225cf496eb2edb8b,No,NoDisponible,,,,,,,
110,Myotis thysanodes,155673,-101.6094444,19.5158333,,False,4,20.95,Mammalia,Chiroptera,Vespertilionidae,2150,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=15d8495f1fd5dfd54b7e7435002f40fd,15d8495f1fd5dfd54b7e7435002f40fd,No,NoDisponible,,,,,,,
51,Myotis thysanodes,87699,-110.3112777,29.4391666,,False,1,-1.41,Mammalia,Chiroptera,Vespertilionidae,404,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1aa3ea6cd095705799c6fca06f59d032,1aa3ea6cd095705799c6fca06f59d032,Si,NoDisponible,No,No,Si,,,,
17,Myotis thysanodes,123813,-105.4508593,29.2770428,,False,1,3.34,Mammalia,Chiroptera,Vespertilionidae,1427,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1b8c18aefdf522804620d35745c652a5,1b8c18aefdf522804620d35745c652a5,No,NoDisponible,,,,,,,
35,Myotis thysanodes,137619,-103.9666694,27.8666694,,False,1,1.62,Mammalia,Chiroptera,Vespertilionidae,1314,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1cc1edd973a2e4321921cbcdb1fda294,1cc1edd973a2e4321921cbcdb1fda294,No,NoDisponible,,,,,,,
9,Myotis thysanodes,96950,-108.9469404,30.611278,,False,4,15.92,Mammalia,Chiroptera,Vespertilionidae,971,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1d30cc5d26d5974b82438293031c2418,1d30cc5d26d5974b82438293031c2418,No,NoDisponible,,,,,,,
76,Myotis thysanodes,170419,-99.62553,21.13465,,False,5,27.4,Mammalia,Chiroptera,Vespertilionidae,2352,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=227a26a65347c3a53195e6fd9f1858fb,227a26a65347c3a53195e6fd9f1858fb,No,NoDisponible,,,,,,,
25,Myotis thysanodes,137619,-103.9666666,27.8666666,,False,1,1.62,Mammalia,Chiroptera,Vespertilionidae,1314,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=247fd966099e576789a235b1511fc658,247fd966099e576789a235b1511fc658,No,NoDisponible,,,,,,,
103,Myotis thysanodes,165369,-100.1641667,19.5125,,False,4,15.51,Mammalia,Chiroptera,Vespertilionidae,2975,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=255735e1b5d222e5e66c4277098fe1f0,255735e1b5d222e5e66c4277098fe1f0,No,NoDisponible,,,,,,,
10,Myotis thysanodes,123821,-105.3470667,29.254383,,False,1,1.51,Mammalia,Chiroptera,Vespertilionidae,1295,Terrestre,1976,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=258008fd6bee2225964f4f251a06c457,258008fd6bee2225964f4f251a06c457,No,NoDisponible,,,,,,,
0,Myotis thysanodes,42271,-115.8647222,32.0191667,,False,3,14.82,Mammalia,Chiroptera,Vespertilionidae,1636,Terrestre,2004,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=25a55ff2bee9b11e3b2303e5b1dd8892,25a55ff2bee9b11e3b2303e5b1dd8892,No,NoDisponible,,,,,,,
112,Myotis thysanodes,199716,-96.2097222,18.7566667,,True,0,-6.72,Mammalia,Chiroptera,Vespertilionidae,40,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=269da8c7d491c6edf023e7277f3388cf,269da8c7d491c6edf023e7277f3388cf,Si,NoDisponible,No,No,Si,,,,
26,Myotis thysanodes,137619,-103.9666666,27.8666666,,False,1,1.62,Mammalia,Chiroptera,Vespertilionidae,1314,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2b89fa7abcdebaa8f1e8b3b6fa662042,2b89fa7abcdebaa8f1e8b3b6fa662042,No,NoDisponible,,,,,,,
62,Myotis thysanodes,151773,-102.1344444,26.9841667,,False,1,-1.13,Mammalia,Chiroptera,Vespertilionidae,1203,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2c67075a82ac3c1de88c38b1e655a422,2c67075a82ac3c1de88c38b1e655a422,No,NoDisponible,,,,,,,
63,Myotis thysanodes,151773,-102.1344444,26.9841667,,False,1,-1.13,Mammalia,Chiroptera,Vespertilionidae,1203,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2d2d9df7b80c1f0a022ba67f5c869b1a,2d2d9df7b80c1f0a022ba67f5c869b1a,No,NoDisponible,,,,,,,
120,Myotis thysanodes,119154,-106.0666667,28.95,,False,4,15.53,Mammalia,Chiroptera,Vespertilionidae,1654,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2d51c1323c126d875ed57a23615a9161,2d51c1323c126d875ed57a23615a9161,No,NoDisponible,,,,,,,
64,Myotis thysanodes,151773,-102.1344444,26.9841667,,False,1,-1.13,Mammalia,Chiroptera,Vespertilionidae,1203,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=30ea423bedab6a4a934f32c87f6499e4,30ea423bedab6a4a934f32c87f6499e4,No,NoDisponible,,,,,,,
50,Myotis thysanodes,83291,-110.7417277,30.8709444,,False,3,10.83,Mammalia,Chiroptera,Vespertilionidae,1309,Terrestre,1974,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=310dea42c8605360ddd27e3adc3beda5,310dea42c8605360ddd27e3adc3beda5,Si,NoDisponible,No,No,Si,,,,
5,Myotis thysanodes,101447,-108.5358333,30.7583333,,False,2,6.71,Mammalia,Chiroptera,Vespertilionidae,1483,Terrestre,1994,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=37579fcd7446aff0dde7e3aabf4871fe,37579fcd7446aff0dde7e3aabf4871fe,No,NoDisponible,,,,,,,
4,Myotis thysanodes,185031,-98.2083333,20.4211111,,False,1,1.26,Mammalia,Chiroptera,Vespertilionidae,1329,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3bad5a5876cd7c3672122700291e8195,3bad5a5876cd7c3672122700291e8195,No,NoDisponible,,,,,,,
27,Myotis thysanodes,137619,-103.9666666,27.8666666,,False,1,1.62,Mammalia,Chiroptera,Vespertilionidae,1314,Terrestre,1970,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3e1129599456a1e9ea1866fcc7e1a445,3e1129599456a1e9ea1866fcc7e1a445,No,NoDisponible,,,,,,,
65,Myotis thysanodes,151773,-102.1344444,26.9841667,,False,1,-1.13,Mammalia,Chiroptera,Vespertilionidae,1203,Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3e343dcec5e10acf7afc01e20c0a8f58,3e343dcec5e10acf7afc01e20c0a8f58,No,NoDisponible,,,,,,,
98,Myotis thysanodes,127396,-104.8222222,20.3805556,,False,3,12.92,Mammalia,Chiroptera,Vespertilionidae,1165,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=43afd540464960825085cc2adadbd76b,43afd540464960825085cc2adadbd76b,Si,NoDisponible,No,Si,Si,,,,
18,Myotis thysanodes,123813,-105.4508593,29.2770428,,False,1,3.34,Mammalia,Chiroptera,Vespertilionidae,1427,Terrestre,1975,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=47d539fb6e4c847fdb9049ee68f1cfac,47d539fb6e4c847fdb9049ee68f1cfac,No,NoDisponible,,,,,,,
66,Myotis thysanodes,151773,-102.1344444,26.9841667,,False,1,-1.13,Mammalia,Chiroptera,Vespertilionidae,1203,Terrestre,1997,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4d077f2f4770bd2d9dcd3dd9da1ba752,4d077f2f4770bd2d9dcd3dd9da1ba752,No,NoDisponible,,,,,,,
52,Myotis thysanodes,87699,-110.3112777,29.4391666,,False,1,-1.41,Mammalia,Chiroptera,Vespertilionidae,404,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=4d53d460e683c53dae0f433cbbe0c9a5,4d53d460e683c53dae0f433cbbe0c9a5,Si,NoDisponible,No,No,Si,,,,
100,Myotis thysanodes,151765,-102.2672222,27.0047222,,False,4,19.01,Mammalia,Chiroptera,Vespertilionidae,2328,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=51151013e1057e5c57915b8d3df5195a,51151013e1057e5c57915b8d3df5195a,No,NoDisponible,,,,,,,
101,Myotis thysanodes,119153,-106.0719444,28.8816667,,False,4,14.97,Mammalia,Chiroptera,Vespertilionidae,1468,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=5187c7305365a4d6059d1b6306327a57,5187c7305365a4d6059d1b6306327a57,No,NoDisponible,,,,,,,
45,Myotis thysanodes,132427,-104.367,23.4651667,,False,2,8.37,Mammalia,Chiroptera,Vespertilionidae,1561,Terrestre,2010,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=51c96067f4de68e9f343c035ab06cee5,51c96067f4de68e9f343c035ab06cee5,No,NoDisponible,,,,,,,
93,Myotis thysanodes,170471,-99.6252778,21.5008333,,False,2,8.58,Mammalia,Chiroptera,Vespertilionidae,1311,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=525044cd25cd1a8675a14f36ab8afff2,525044cd25cd1a8675a14f36ab8afff2,No,NoDisponible,,,,,,,
