,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
175,Hodomys alleni,194772,-97.0586111,18.4611111,,True,0,-211.16,Mammalia,Rodentia,Cricetidae,2439,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02508841547356e0f4bdf035d8182657,02508841547356e0f4bdf035d8182657,No,NoDisponible,,,,,,,
151,Hodomys alleni,141271,-103.3755556,19.0538889,,False,6,26.71,Mammalia,Rodentia,Cricetidae,468,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02aabc13e3778aac3c26b2542387cfe5,02aabc13e3778aac3c26b2542387cfe5,No,NoDisponible,,,,,,,
41,Hodomys alleni,136612,-103.6558333,19.2861111,,False,6,20.07,Mammalia,Rodentia,Cricetidae,697,Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02e35118b7039169271c9b1e1c12ea71,02e35118b7039169271c9b1e1c12ea71,No,NoDisponible,,,,,,,
164,Hodomys alleni,127299,-105.0822222,19.7455556,,False,6,21.71,Mammalia,Rodentia,Cricetidae,288,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02f86024461c2a5fad822d37c394f021,02f86024461c2a5fad822d37c394f021,No,NoDisponible,,,,,,,
17,Hodomys alleni,118443,-105.8569411,22.9902781,,False,6,16.83,Mammalia,Rodentia,Cricetidae,29,Terrestre,1897,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0407f18fbd82b36ced904ff0ac9bd2cc,0407f18fbd82b36ced904ff0ac9bd2cc,No,NoDisponible,,,,,,,
105,Hodomys alleni,145979,-102.3816667,18.4233722,,False,6,17.18,Mammalia,Rodentia,Cricetidae,1086,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05acd367c6faf44769e9512d0217ffa2,05acd367c6faf44769e9512d0217ffa2,No,NoDisponible,,,,,,,
116,Hodomys alleni,136609,-103.7306,19.2431,,False,6,18.97,Mammalia,Rodentia,Cricetidae,490,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05e8b4c4d63bebcb12f4afca7f58a14a,05e8b4c4d63bebcb12f4afca7f58a14a,No,NoDisponible,,,,,,,
179,Hodomys alleni,122978,-105.4525,22.52944,,False,6,12.88,Mammalia,Rodentia,Cricetidae,17,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=061403c3a39ca82c9ff0e0018864e81b,061403c3a39ca82c9ff0e0018864e81b,No,NoDisponible,,,,,,,
18,Hodomys alleni,118443,-105.8569411,22.9902781,,False,6,16.83,Mammalia,Rodentia,Cricetidae,29,Terrestre,1897,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0679daf59f889977681ef1772235de25,0679daf59f889977681ef1772235de25,No,NoDisponible,,,,,,,
122,Hodomys alleni,189810,-97.3928,18.4619,,False,5,-13.21,Mammalia,Rodentia,Cricetidae,1645,Terrestre,1893,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=071991dea874b867403cddcc6f89b49b,071991dea874b867403cddcc6f89b49b,No,NoDisponible,,,,,,,
53,Hodomys alleni,136543,-103.8333333,19.0833333,,False,6,27.28,Mammalia,Rodentia,Cricetidae,587,Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0828472d537e0b3ab38d65ab62a580f2,0828472d537e0b3ab38d65ab62a580f2,No,NoDisponible,,,,,,,
30,Hodomys alleni,118443,-105.85694,22.99028,,False,6,16.83,Mammalia,Rodentia,Cricetidae,29,Terrestre,1897,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=09876d5d9dc34c3a6287de4d400704bc,09876d5d9dc34c3a6287de4d400704bc,No,NoDisponible,,,,,,,
83,Hodomys alleni,122864,-105.2127773,21.53944,,False,6,11.24,Mammalia,Rodentia,Cricetidae,102,Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a4207866d772674f7cab76d84a727b0,0a4207866d772674f7cab76d84a727b0,Si,NoDisponible,No,Si,Si,,,,
19,Hodomys alleni,118443,-105.8569411,22.9902781,,False,6,16.83,Mammalia,Rodentia,Cricetidae,29,Terrestre,1897,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c418148d45777d704a5dc8e8c579b54,0c418148d45777d704a5dc8e8c579b54,No,NoDisponible,,,,,,,
138,Hodomys alleni,131893,-104.3155556,19.0516667,,False,6,20.27,Mammalia,Rodentia,Cricetidae,28,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c5078418ed18c041c7fbf24e8c57b90,0c5078418ed18c041c7fbf24e8c57b90,Si,NoDisponible,No,Si,Si,,,,
142,Hodomys alleni,136531,-103.9644444,18.9341667,,False,6,20.72,Mammalia,Rodentia,Cricetidae,28,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0fb750ffb656ef7cd4637911fa93ef5c,0fb750ffb656ef7cd4637911fa93ef5c,No,NoDisponible,,,,,,,
99,Hodomys alleni,150843,-101.8061111,18.9625,,False,6,12.75,Mammalia,Rodentia,Cricetidae,487,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=114b684ec3e592883df280fd2ba1bc1b,114b684ec3e592883df280fd2ba1bc1b,No,NoDisponible,,,,,,,
20,Hodomys alleni,118443,-105.8569411,22.9902781,,False,6,16.83,Mammalia,Rodentia,Cricetidae,29,Terrestre,1897,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=117d43d724aa9a61d53ba1088e7656f0,117d43d724aa9a61d53ba1088e7656f0,No,NoDisponible,,,,,,,
21,Hodomys alleni,118443,-105.8569411,22.9902781,,False,6,16.83,Mammalia,Rodentia,Cricetidae,29,Terrestre,1897,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=14da15837ef4a0ccb20af05fd09d3f5c,14da15837ef4a0ccb20af05fd09d3f5c,No,NoDisponible,,,,,,,
165,Hodomys alleni,174982,-99.4233333,18.8833333,,True,4,-34.41,Mammalia,Rodentia,Cricetidae,1791,Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=177b05f8bcb7fe6ee7892869eb7b05ca,177b05f8bcb7fe6ee7892869eb7b05ca,No,NoDisponible,,,,,,,
42,Hodomys alleni,136612,-103.6894444,19.2841666,,False,6,20.07,Mammalia,Rodentia,Cricetidae,669,Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=17ba9ab7053d5f013cca723de8910caa,17ba9ab7053d5f013cca723de8910caa,No,NoDisponible,,,,,,,
115,Hodomys alleni,141463,-103.3461,20.6764,,False,6,9.63,Mammalia,Rodentia,Cricetidae,1561,Terrestre,1965,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=18a85661e1167743437644044895aad6,18a85661e1167743437644044895aad6,No,NoDisponible,,,,,,,
123,Hodomys alleni,189810,-97.3928,18.4619,,False,5,-13.21,Mammalia,Rodentia,Cricetidae,1645,Terrestre,1893,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=18abbdba80ae37778c15a79e6d475390,18abbdba80ae37778c15a79e6d475390,No,NoDisponible,,,,,,,
127,Hodomys alleni,169879,-99.89778,16.87111,,False,6,24.02,Mammalia,Rodentia,Cricetidae,66,Terrestre,1895,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1aada5f20f2782b16f095baaade78ea1,1aada5f20f2782b16f095baaade78ea1,Si,NoDisponible,No,No,Si,,,,
