,especievalida,gridid,longitud,latitud,cuarentena,isoutlier,ms_cluster,tscore,clasevalida,ordenvalido,familiavalida,altitudmapa,ambiente,aniocolecta,probablelocnodecampo,version,urlejemplar,idejemplar,sospechoso,DistConocida,DistPotencial,Buffer (Km),EstadoDoc,ValidoAmbiente,BufferAmbiente,MapaUSV,DistHistorica
150,Incilius cavifrons,209055,-95.20077,18.55764,,False,6,47.7,Amphibia,Anura,Bufonidae,1661,Dulceacuícola; Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00754240266c6da0600d25414e021003,00754240266c6da0600d25414e021003,No,NoDisponible,,,,,,,
275,Incilius cavifrons,209052,-95.19847,18.48008,,False,5,37.76,Amphibia,Anura,Bufonidae,536,Dulceacuícola; Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=00ce710f785ad96e13ddb4c3030eb407,00ce710f785ad96e13ddb4c3030eb407,No,NoDisponible,,,,,,,
151,Incilius cavifrons,209055,-95.20077,18.55764,,False,6,47.7,Amphibia,Anura,Bufonidae,1661,Dulceacuícola; Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=02ed866f2efc8af60dbd6b0e8a244257,02ed866f2efc8af60dbd6b0e8a244257,No,NoDisponible,,,,,,,
107,Incilius cavifrons,226708,-93.0069444,17.3458333,,False,7,62.17,Amphibia,Anura,Bufonidae,271,Dulceacuícola; Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=038b38dfc5d5b0042023b30909b0d392,038b38dfc5d5b0042023b30909b0d392,Si,NoDisponible,Si,Si,No,,,,
69,Incilius cavifrons,209056,-95.2083333,18.575,,False,6,44.42,Amphibia,Anura,Bufonidae,1120,Dulceacuícola; Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03d39f15d2ed69864155ba0465f75486,03d39f15d2ed69864155ba0465f75486,No,NoDisponible,,,,,,,
44,Incilius cavifrons,209080,-95.0747222,18.5841667,,False,4,28.13,Amphibia,Anura,Bufonidae,166,Dulceacuícola; Terrestre,1976,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=03e248c314ec8729b7a4b2ac241033f3,03e248c314ec8729b7a4b2ac241033f3,No,NoDisponible,,,,,,,
12,Incilius cavifrons,209076,-95.02278,18.43611,,False,6,43.8,Amphibia,Anura,Bufonidae,371,Dulceacuícola; Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=04f52b53c17870a4636f52200e2aa82b,04f52b53c17870a4636f52200e2aa82b,No,NoDisponible,,,,,,,
152,Incilius cavifrons,209055,-95.20077,18.55764,,False,6,47.7,Amphibia,Anura,Bufonidae,1661,Dulceacuícola; Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=05cc20841279ca2f019bd1a730ca5114,05cc20841279ca2f019bd1a730ca5114,No,NoDisponible,,,,,,,
153,Incilius cavifrons,209055,-95.20077,18.55764,,False,6,47.7,Amphibia,Anura,Bufonidae,1661,Dulceacuícola; Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=080dad130b649d6d4b1ddc62948d0e42,080dad130b649d6d4b1ddc62948d0e42,No,NoDisponible,,,,,,,
154,Incilius cavifrons,209055,-95.20077,18.55764,,False,6,47.7,Amphibia,Anura,Bufonidae,1661,Dulceacuícola; Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=086f839466b67790a2534c73ebe9329a,086f839466b67790a2534c73ebe9329a,No,NoDisponible,,,,,,,
2,Incilius cavifrons,209050,-95.225,18.4583333,,False,5,35.37,Amphibia,Anura,Bufonidae,303,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=099e2c53d9ce76efecac7f7cefab2eac,099e2c53d9ce76efecac7f7cefab2eac,No,NoDisponible,,,,,,,
35,Incilius cavifrons,209075,-95.01361,18.37583,,False,5,39.03,Amphibia,Anura,Bufonidae,333,Dulceacuícola; Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0a0b8419d61d97c330099c536c0b6f6d,0a0b8419d61d97c330099c536c0b6f6d,No,NoDisponible,,,,,,,
46,Incilius cavifrons,209080,-95.069376,18.585242,,False,4,28.13,Amphibia,Anura,Bufonidae,167,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0c0f09c8762dab3cd8c8fa8004d9d358,0c0f09c8762dab3cd8c8fa8004d9d358,No,NoDisponible,,,,,,,
28,Incilius cavifrons,209072,-94.8717999,18.3366999,,False,6,48.31,Amphibia,Anura,Bufonidae,1285,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0cb555722cf1129cad1d4a2f62cc885e,0cb555722cf1129cad1d4a2f62cc885e,No,NoDisponible,,,,,,,
276,Incilius cavifrons,209052,-95.19847,18.48008,,False,5,37.76,Amphibia,Anura,Bufonidae,536,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0cb79491d1beab5f44f98ea6fe1d22ae,0cb79491d1beab5f44f98ea6fe1d22ae,No,NoDisponible,,,,,,,
155,Incilius cavifrons,209055,-95.20077,18.55764,,False,6,47.7,Amphibia,Anura,Bufonidae,1661,Dulceacuícola; Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e046227fb16e056175d68f7585ef07d,0e046227fb16e056175d68f7585ef07d,No,NoDisponible,,,,,,,
156,Incilius cavifrons,209055,-95.20077,18.55764,,False,6,47.7,Amphibia,Anura,Bufonidae,1661,Dulceacuícola; Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0e1cbf8122fe46a1027927b0eb15fb52,0e1cbf8122fe46a1027927b0eb15fb52,No,NoDisponible,,,,,,,
307,Incilius cavifrons,194570,-96.9799999,16.5116666,,True,1,-6.72,Amphibia,Anura,Bufonidae,1421,Dulceacuícola; Terrestre,2002,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0eda55d0f66cc4cc122d5c0657535a52,0eda55d0f66cc4cc122d5c0657535a52,Si,NoDisponible,No,,No,,,,
157,Incilius cavifrons,209055,-95.20077,18.55764,,False,6,47.7,Amphibia,Anura,Bufonidae,1661,Dulceacuícola; Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0ee027923e87921c1db940129f33d554,0ee027923e87921c1db940129f33d554,No,NoDisponible,,,,,,,
158,Incilius cavifrons,209055,-95.20077,18.55764,,False,6,47.7,Amphibia,Anura,Bufonidae,1661,Dulceacuícola; Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=0f37829e761cab9a2b8dedd804d1d1d6,0f37829e761cab9a2b8dedd804d1d1d6,No,NoDisponible,,,,,,,
201,Incilius cavifrons,194825,-97.0027778,18.6702778,,False,4,28.68,Amphibia,Anura,Bufonidae,1287,Dulceacuícola; Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=12cb2d9c4784371e1b5ce56094aff0c3,12cb2d9c4784371e1b5ce56094aff0c3,Si,NoDisponible,Si,Si,Si,,,,
242,Incilius cavifrons,209052,-95.2,18.45,,False,5,37.76,Amphibia,Anura,Bufonidae,346,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=13856fa74b472dbcb914e4a1324b88dd,13856fa74b472dbcb914e4a1324b88dd,No,NoDisponible,,,,,,,
13,Incilius cavifrons,209076,-95.02278,18.43611,,False,6,43.8,Amphibia,Anura,Bufonidae,371,Dulceacuícola; Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1479eeed5e31067c519d039a7bed6d22,1479eeed5e31067c519d039a7bed6d22,No,NoDisponible,,,,,,,
115,Incilius cavifrons,209055,-95.2200078,18.51,,False,6,47.7,Amphibia,Anura,Bufonidae,614,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=148bf274c376dedcf63d65ff284afa65,148bf274c376dedcf63d65ff284afa65,No,NoDisponible,,,,,,,
243,Incilius cavifrons,209052,-95.2,18.45,,False,5,37.76,Amphibia,Anura,Bufonidae,346,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=15023e9ee1371f38abebc1184a88de50,15023e9ee1371f38abebc1184a88de50,No,NoDisponible,,,,,,,
58,Incilius cavifrons,209056,-95.2083333,18.575,,False,6,44.42,Amphibia,Anura,Bufonidae,1120,Dulceacuícola; Terrestre,1963,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=152557888a77ad04e3dc9c69db541a16,152557888a77ad04e3dc9c69db541a16,No,NoDisponible,,,,,,,
277,Incilius cavifrons,209052,-95.19847,18.48008,,False,5,37.76,Amphibia,Anura,Bufonidae,536,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=154a84097de46c84d4b94f092a29afa8,154a84097de46c84d4b94f092a29afa8,No,NoDisponible,,,,,,,
159,Incilius cavifrons,209055,-95.20077,18.55764,,False,6,47.7,Amphibia,Anura,Bufonidae,1661,Dulceacuícola; Terrestre,1953,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=15674fcfe4ec46dc537a75771468ecf3,15674fcfe4ec46dc537a75771468ecf3,No,NoDisponible,,,,,,,
47,Incilius cavifrons,209080,-95.069376,18.585242,,False,4,28.13,Amphibia,Anura,Bufonidae,167,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1703fc6aab0aadcc76e2fe6fc89f7bf3,1703fc6aab0aadcc76e2fe6fc89f7bf3,No,NoDisponible,,,,,,,
45,Incilius cavifrons,209080,-95.0519444,18.5916667,,False,4,28.13,Amphibia,Anura,Bufonidae,63,Dulceacuícola; Terrestre,1981,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=17d99dd9441bcf177aca2d145ef56e95,17d99dd9441bcf177aca2d145ef56e95,Si,NoDisponible,Si,Si,Si,,,,
244,Incilius cavifrons,209052,-95.2,18.45,,False,5,37.76,Amphibia,Anura,Bufonidae,346,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=190929c09955a90e640b2a45db830a5b,190929c09955a90e640b2a45db830a5b,No,NoDisponible,,,,,,,
22,Incilius cavifrons,213703,-94.7416667,18.275,,False,5,41.09,Amphibia,Anura,Bufonidae,283,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1ac99a86da3795d91305e5e175deee3f,1ac99a86da3795d91305e5e175deee3f,No,NoDisponible,,,,,,,
226,Incilius cavifrons,209053,-95.27,18.52,,False,6,47.5,Amphibia,Anura,Bufonidae,439,Dulceacuícola; Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1b42d315c411e626d1532a1be5b08ac9,1b42d315c411e626d1532a1be5b08ac9,No,NoDisponible,,,,,,,
116,Incilius cavifrons,209055,-95.2200078,18.51,,False,6,47.7,Amphibia,Anura,Bufonidae,614,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1b90fd1f55a0a6bab04226d40c776970,1b90fd1f55a0a6bab04226d40c776970,No,NoDisponible,,,,,,,
278,Incilius cavifrons,209052,-95.19847,18.48008,,False,5,37.76,Amphibia,Anura,Bufonidae,536,Dulceacuícola; Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1bbcf389e439ecc0f32b506ae3cbdc62,1bbcf389e439ecc0f32b506ae3cbdc62,No,NoDisponible,,,,,,,
324,Incilius cavifrons,209082,-94.97694,18.46417,,False,6,47.26,Amphibia,Anura,Bufonidae,252,Dulceacuícola; Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1beb51d490d958e06a260254b25b60d7,1beb51d490d958e06a260254b25b60d7,No,NoDisponible,,,,,,,
14,Incilius cavifrons,209076,-95.02278,18.43611,,False,6,43.8,Amphibia,Anura,Bufonidae,371,Dulceacuícola; Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c3c5b297d2d5d65c2f834c26b9b701e,1c3c5b297d2d5d65c2f834c26b9b701e,No,NoDisponible,,,,,,,
36,Incilius cavifrons,209075,-95.01361,18.37583,,False,5,39.03,Amphibia,Anura,Bufonidae,333,Dulceacuícola; Terrestre,1962,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1c72e4b147fa2135eca14e6812a882fb,1c72e4b147fa2135eca14e6812a882fb,No,NoDisponible,,,,,,,
117,Incilius cavifrons,209055,-95.2200078,18.51,,False,6,47.7,Amphibia,Anura,Bufonidae,614,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1d34cfec502ff7f6c8412c0221c3f1e7,1d34cfec502ff7f6c8412c0221c3f1e7,No,NoDisponible,,,,,,,
10,Incilius cavifrons,209076,-95.0227778,18.4361111,,False,6,43.8,Amphibia,Anura,Bufonidae,371,Dulceacuícola; Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1d8b7cc2e87ac9049a630c2a41ac4645,1d8b7cc2e87ac9049a630c2a41ac4645,No,NoDisponible,,,,,,,
96,Incilius cavifrons,209073,-95.1,18.4166666,,False,5,36.04,Amphibia,Anura,Bufonidae,322,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1e4f2ee101b45d278a7327e9ce751369,1e4f2ee101b45d278a7327e9ce751369,No,NoDisponible,,,,,,,
118,Incilius cavifrons,209055,-95.2200078,18.51,,False,6,47.7,Amphibia,Anura,Bufonidae,614,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1f7d8c371a36ac5d861539c247b12550,1f7d8c371a36ac5d861539c247b12550,No,NoDisponible,,,,,,,
160,Incilius cavifrons,209055,-95.20077,18.55764,,False,6,47.7,Amphibia,Anura,Bufonidae,1661,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1f9895b8aa787c203d700656db8c642f,1f9895b8aa787c203d700656db8c642f,No,NoDisponible,,,,,,,
232,Incilius cavifrons,226695,-93.0016182,17.1344444,,False,5,36.8,Amphibia,Anura,Bufonidae,1991,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1fc71b1b9991e3a4180b0f095c234560,1fc71b1b9991e3a4180b0f095c234560,Si,NoDisponible,Si,Si,No,,,,
237,Incilius cavifrons,209074,-95.1333299,18.4833299,,False,6,47.13,Amphibia,Anura,Bufonidae,711,Dulceacuícola; Terrestre,1973,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=1fe4fad69b0d4eb3d034cb0a1d621a6b,1fe4fad69b0d4eb3d034cb0a1d621a6b,No,NoDisponible,,,,,,,
37,Incilius cavifrons,209075,-95.01361,18.37583,,False,5,39.03,Amphibia,Anura,Bufonidae,333,Dulceacuícola; Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=20067275a11212c5c7ab743cc23e8886,20067275a11212c5c7ab743cc23e8886,No,NoDisponible,,,,,,,
245,Incilius cavifrons,209052,-95.2,18.45,,False,5,37.76,Amphibia,Anura,Bufonidae,346,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=20efd99fcc358a068abda88d56853105,20efd99fcc358a068abda88d56853105,No,NoDisponible,,,,,,,
119,Incilius cavifrons,209055,-95.2200078,18.51,,False,6,47.7,Amphibia,Anura,Bufonidae,614,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=210e9cc323d89d8072e2febd77f963df,210e9cc323d89d8072e2febd77f963df,No,NoDisponible,,,,,,,
279,Incilius cavifrons,209052,-95.19847,18.48008,,False,5,37.76,Amphibia,Anura,Bufonidae,536,Dulceacuícola; Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=21e8484722afa5040c49c87a1a2fc517,21e8484722afa5040c49c87a1a2fc517,No,NoDisponible,,,,,,,
161,Incilius cavifrons,209055,-95.20077,18.55764,,False,6,47.7,Amphibia,Anura,Bufonidae,1661,Dulceacuícola; Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=256f96075ec1230a91dbaa66cd142c09,256f96075ec1230a91dbaa66cd142c09,No,NoDisponible,,,,,,,
212,Incilius cavifrons,209079,-95.07,18.52,,False,5,38.54,Amphibia,Anura,Bufonidae,320,Dulceacuícola; Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=259f7ad47071c426fa00a1bfeaa0c0b8,259f7ad47071c426fa00a1bfeaa0c0b8,No,NoDisponible,,,,,,,
280,Incilius cavifrons,209052,-95.19847,18.48008,,False,5,37.76,Amphibia,Anura,Bufonidae,536,Dulceacuícola; Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=274f781e12d7ba4534195219449ee458,274f781e12d7ba4534195219449ee458,No,NoDisponible,,,,,,,
38,Incilius cavifrons,209075,-95.01361,18.37583,,False,5,39.03,Amphibia,Anura,Bufonidae,333,Dulceacuícola; Terrestre,1962,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2902c976f91fd44adf6ea85a89b945c9,2902c976f91fd44adf6ea85a89b945c9,No,NoDisponible,,,,,,,
304,Incilius cavifrons,209078,-95.0922222,18.5841667,,False,5,41.24,Amphibia,Anura,Bufonidae,196,Dulceacuícola; Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=29cd76ccc41ae585547b55c51afe7789,29cd76ccc41ae585547b55c51afe7789,No,NoDisponible,,,,,,,
23,Incilius cavifrons,213703,-94.7416667,18.275,,False,5,41.09,Amphibia,Anura,Bufonidae,283,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2ad12d9a4458e4b707d7bab3b94894f3,2ad12d9a4458e4b707d7bab3b94894f3,No,NoDisponible,,,,,,,
234,Incilius cavifrons,226695,-93.0069444,17.1486111,,False,5,36.8,Amphibia,Anura,Bufonidae,1859,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2b859d31e16e8709ccaec84a08ae60dc,2b859d31e16e8709ccaec84a08ae60dc,Si,NoDisponible,Si,Si,No,,,,
24,Incilius cavifrons,213703,-94.7416667,18.275,,False,5,41.09,Amphibia,Anura,Bufonidae,283,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2cbfc38f8ce822dd723185489fb9bd1a,2cbfc38f8ce822dd723185489fb9bd1a,No,NoDisponible,,,,,,,
317,Incilius cavifrons,209069,-94.9687336,18.2672849,,False,5,35.34,Amphibia,Anura,Bufonidae,682,Dulceacuícola; Terrestre,2015,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2ee64c245f97292785764818989fc9c2,2ee64c245f97292785764818989fc9c2,No,NoDisponible,,,,,,,
246,Incilius cavifrons,209052,-95.2,18.45,,False,5,37.76,Amphibia,Anura,Bufonidae,346,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2f4e347aac730551a59a3b0915fc290a,2f4e347aac730551a59a3b0915fc290a,No,NoDisponible,,,,,,,
6,Incilius cavifrons,209076,-95.0233333,18.4366667,,False,6,43.8,Amphibia,Anura,Bufonidae,353,Dulceacuícola; Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=2f6ced4a5de5dea2e7426f4abbbafa4e,2f6ced4a5de5dea2e7426f4abbbafa4e,No,NoDisponible,,,,,,,
238,Incilius cavifrons,209074,-95.1333299,18.4833299,,False,6,47.13,Amphibia,Anura,Bufonidae,711,Dulceacuícola; Terrestre,1972,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3035d7c241503b7be1fac08469b53e12,3035d7c241503b7be1fac08469b53e12,No,NoDisponible,,,,,,,
247,Incilius cavifrons,209052,-95.2,18.45,,False,5,37.76,Amphibia,Anura,Bufonidae,346,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=314efa03d427dbf651b16cafb9f3029e,314efa03d427dbf651b16cafb9f3029e,No,NoDisponible,,,,,,,
308,Incilius cavifrons,194622,-96.7230555,16.9547219,,True,0,-91.99,Amphibia,Anura,Bufonidae,1510,Dulceacuícola; Terrestre,1996,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3486d525e7c30655876213270dd7a589,3486d525e7c30655876213270dd7a589,Si,NoDisponible,No,,No,,,,
15,Incilius cavifrons,209076,-95.02278,18.43611,,False,6,43.8,Amphibia,Anura,Bufonidae,371,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3648ce1c165c9d2acc68497cb92642b7,3648ce1c165c9d2acc68497cb92642b7,No,NoDisponible,,,,,,,
281,Incilius cavifrons,209052,-95.19847,18.48008,,False,5,37.76,Amphibia,Anura,Bufonidae,536,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3657437abf00004edc0edd68d033de97,3657437abf00004edc0edd68d033de97,No,NoDisponible,,,,,,,
120,Incilius cavifrons,209055,-95.2200078,18.51,,False,6,47.7,Amphibia,Anura,Bufonidae,614,Dulceacuícola; Terrestre,1958,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=36617d0f2d05959a6c950165ecf3c515,36617d0f2d05959a6c950165ecf3c515,No,NoDisponible,,,,,,,
137,Incilius cavifrons,209055,-95.2,18.5666699,,False,6,47.7,Amphibia,Anura,Bufonidae,1470,Dulceacuícola; Terrestre,1962,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=368e1aaace7f8b61bf02eb765b28bbdf,368e1aaace7f8b61bf02eb765b28bbdf,No,NoDisponible,,,,,,,
48,Incilius cavifrons,209080,-95.069376,18.585242,,False,4,28.13,Amphibia,Anura,Bufonidae,167,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=369a5e08196660cf96efd04b1213f959,369a5e08196660cf96efd04b1213f959,No,NoDisponible,,,,,,,
282,Incilius cavifrons,209052,-95.19847,18.48008,,False,5,37.76,Amphibia,Anura,Bufonidae,536,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=37009faa39ed783da130438aa412cea4,37009faa39ed783da130438aa412cea4,No,NoDisponible,,,,,,,
248,Incilius cavifrons,209052,-95.2,18.45,,False,5,37.76,Amphibia,Anura,Bufonidae,346,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=371ee9a7cf5efd0559cc1a35c1907c2b,371ee9a7cf5efd0559cc1a35c1907c2b,No,NoDisponible,,,,,,,
219,Incilius cavifrons,209077,-95.14046,18.50828,,False,6,50.51,Amphibia,Anura,Bufonidae,1102,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3782359abc81276365f4d65e054cf860,3782359abc81276365f4d65e054cf860,No,NoDisponible,,,,,,,
325,Incilius cavifrons,209082,-94.9769444,18.4641667,,False,6,47.26,Amphibia,Anura,Bufonidae,252,Dulceacuícola; Terrestre,1982,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=37c099d59481faea895fd696da5edd88,37c099d59481faea895fd696da5edd88,No,NoDisponible,,,,,,,
73,Incilius cavifrons,209056,-95.2083333,18.575,,False,6,44.42,Amphibia,Anura,Bufonidae,1120,Dulceacuícola; Terrestre,1959,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=38ca8393b8d1709fc57e4b89d519c692,38ca8393b8d1709fc57e4b89d519c692,No,NoDisponible,,,,,,,
249,Incilius cavifrons,209052,-95.2,18.45,,False,5,37.76,Amphibia,Anura,Bufonidae,346,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=38d4588a33e991a8130cba7db5917919,38d4588a33e991a8130cba7db5917919,No,NoDisponible,,,,,,,
315,Incilius cavifrons,226711,-93.0333299,17.4236099,,False,4,34.03,Amphibia,Anura,Bufonidae,191,Dulceacuícola; Terrestre,1969,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3902c3dc917ad0854e71ea059df8a159,3902c3dc917ad0854e71ea059df8a159,Si,NoDisponible,Si,Si,No,,,,
250,Incilius cavifrons,209052,-95.2,18.45,,False,5,37.76,Amphibia,Anura,Bufonidae,346,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=392190a9ac21796aae8fe4b2fec5d98a,392190a9ac21796aae8fe4b2fec5d98a,No,NoDisponible,,,,,,,
27,Incilius cavifrons,209072,-94.9083333,18.3416667,,False,6,48.31,Amphibia,Anura,Bufonidae,1145,Dulceacuícola; Terrestre,1987,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=394ec9fbd19f357aabc85d25e7cdbd7f,394ec9fbd19f357aabc85d25e7cdbd7f,No,NoDisponible,,,,,,,
121,Incilius cavifrons,209055,-95.2200078,18.51,,False,6,47.7,Amphibia,Anura,Bufonidae,614,Dulceacuícola; Terrestre,1960,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3af75cb4057ae24948c4af16d540d36f,3af75cb4057ae24948c4af16d540d36f,No,NoDisponible,,,,,,,
16,Incilius cavifrons,209076,-95.0117,18.4584,,False,6,43.8,Amphibia,Anura,Bufonidae,183,Dulceacuícola; Terrestre,1954,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3b4661af6b15e04a2fb1fe38a6712eb7,3b4661af6b15e04a2fb1fe38a6712eb7,No,NoDisponible,,,,,,,
86,Incilius cavifrons,209081,-94.94,18.3883333,,False,6,50.89,Amphibia,Anura,Bufonidae,931,Dulceacuícola; Terrestre,1962,SI,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3b8b0cb0ea3848018a874fbb28bd69b0,3b8b0cb0ea3848018a874fbb28bd69b0,No,NoDisponible,,,,,,,
43,Incilius cavifrons,209080,-95.075,18.5916667,,False,4,28.13,Amphibia,Anura,Bufonidae,111,Dulceacuícola; Terrestre,1989,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3c9f6685e671244c88451c45f0484485,3c9f6685e671244c88451c45f0484485,No,NoDisponible,,,,,,,
98,Incilius cavifrons,209073,-95.1080556,18.4155556,,False,5,36.04,Amphibia,Anura,Bufonidae,322,Dulceacuícola; Terrestre,9999,,2017-12,http://www.snib.mx/snibgeoportal/Ejemplar.php?id=3cbcabe3cb3cca7719042907ef393b55,3cbcabe3cb3cca7719042907ef393b55,No,NoDisponible,,,,,,,
